weathercode_best_match,temperature_2m_max_best_match,temperature_2m_min_best_match,apparent_temperature_max_best_match,apparent_temperature_min_best_match,sunrise,sunset,uv_index_max_best_match,uv_index_clear_sky_max_best_match,precipitation_sum_best_match,rain_sum_best_match,showers_sum_best_match,snowfall_sum_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,windspeed_10m_max_best_match,windgusts_10m_max_best_match,winddirection_10m_dominant_best_match,shortwave_radiation_sum_best_match,et0_fao_evapotranspiration_best_match,weathercode_ecmwf_ifs04,temperature_2m_max_ecmwf_ifs04,temperature_2m_min_ecmwf_ifs04,precipitation_sum_ecmwf_ifs04,snowfall_sum_ecmwf_ifs04,precipitation_hours_ecmwf_ifs04,windspeed_10m_max_ecmwf_ifs04,winddirection_10m_dominant_ecmwf_ifs04,weathercode_gfs_seamless,temperature_2m_max_gfs_seamless,temperature_2m_min_gfs_seamless,apparent_temperature_max_gfs_seamless,apparent_temperature_min_gfs_seamless,uv_index_max_gfs_seamless,uv_index_clear_sky_max_gfs_seamless,precipitation_sum_gfs_seamless,rain_sum_gfs_seamless,showers_sum_gfs_seamless,snowfall_sum_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,windspeed_10m_max_gfs_seamless,windgusts_10m_max_gfs_seamless,winddirection_10m_dominant_gfs_seamless,shortwave_radiation_sum_gfs_seamless,et0_fao_evapotranspiration_gfs_seamless,weathercode_jma_seamless,temperature_2m_max_jma_seamless,temperature_2m_min_jma_seamless,apparent_temperature_max_jma_seamless,apparent_temperature_min_jma_seamless,precipitation_sum_jma_seamless,snowfall_sum_jma_seamless,precipitation_hours_jma_seamless,windspeed_10m_max_jma_seamless,winddirection_10m_dominant_jma_seamless,weathercode_icon_seamless,temperature_2m_max_icon_seamless,temperature_2m_min_icon_seamless,apparent_temperature_max_icon_seamless,apparent_temperature_min_icon_seamless,precipitation_sum_icon_seamless,rain_sum_icon_seamless,showers_sum_icon_seamless,snowfall_sum_icon_seamless,precipitation_hours_icon_seamless,windspeed_10m_max_icon_seamless,windgusts_10m_max_icon_seamless,winddirection_10m_dominant_icon_seamless,shortwave_radiation_sum_icon_seamless,et0_fao_evapotranspiration_icon_seamless,weathercode_gem_seamless,temperature_2m_max_gem_seamless,temperature_2m_min_gem_seamless,apparent_temperature_max_gem_seamless,apparent_temperature_min_gem_seamless,precipitation_sum_gem_seamless,rain_sum_gem_seamless,showers_sum_gem_seamless,snowfall_sum_gem_seamless,precipitation_hours_gem_seamless,windspeed_10m_max_gem_seamless,windgusts_10m_max_gem_seamless,winddirection_10m_dominant_gem_seamless,shortwave_radiation_sum_gem_seamless,et0_fao_evapotranspiration_gem_seamless,weathercode_meteofrance_seamless,temperature_2m_max_meteofrance_seamless,temperature_2m_min_meteofrance_seamless,apparent_temperature_max_meteofrance_seamless,apparent_temperature_min_meteofrance_seamless,precipitation_sum_meteofrance_seamless,snowfall_sum_meteofrance_seamless,precipitation_hours_meteofrance_seamless,windspeed_10m_max_meteofrance_seamless,windgusts_10m_max_meteofrance_seamless,winddirection_10m_dominant_meteofrance_seamless,shortwave_radiation_sum_meteofrance_seamless,et0_fao_evapotranspiration_meteofrance_seamless,Datum,AQI - BAFU
80,8.9,5.2,6.3,2.4,2023-04-13T06:39,2023-04-13T20:12,4.2,5.45,4.8,4.0,1.1,0.0,11.0,90,12.1,35.6,247,12.21,1.72,55.0,7.3,2.1,3.7,0.0,11.0,13.5,256,85,8.6,3.4,5.2,0.0,4.2,5.45,5.4,0.7,5.1,0.25,16.0,90,17.3,41.0,252,14.27,1.76,53,8.6,5.4,5.6,1.9,5.5,0.0,18.0,9.9,247,80,8.9,5.2,6.3,2.4,4.8,4.0,1.1,0.0,11.0,12.1,35.6,247,12.21,1.72,80,8.4,4.1,5.5,1.5,17.5,16.9,0.6,0.0,24.0,18.7,34.2,253,9.15,1.26,61,10.6,4.5,7.1,1.0,4.1,0.0,9.0,20.9,56.2,259,16.27,2.13,13.04.23,5
80,12.4,4.9,10.0,2.9,2023-04-14T06:38,2023-04-14T20:14,5.4,5.7,1.0,0.1,0.9,0.0,6.0,49,7.1,19.4,192,18.98,2.63,,9.9,0.4,3.3,0.0,10.0,6.2,186,51,12.7,1.9,11.4,-0.6,5.4,5.7,1.0,0.1,1.0,0.0,7.0,49,7.4,8.3,206,21.5,2.92,51,11.1,3.2,8.7,0.9,1.7,0.0,8.0,4.4,215,80,12.4,4.9,10.0,2.9,1.0,0.1,0.9,0.0,6.0,7.1,19.4,192,18.98,2.63,51,11.9,2.2,9.6,-0.4,0.4,0.4,0.0,0.0,4.0,7.9,13.7,212,21.07,2.72,3,12.8,3.4,9.3,1.5,0.0,0.0,0.0,9.7,22.3,167,24.66,3.28,14.04.23,7
80,9.9,6.6,7.0,4.7,2023-04-15T06:36,2023-04-15T20:15,3.85,5.5,2.0,2.0,0.0,0.0,8.0,100,12.5,24.1,202,9.68,1.51,,7.5,2.8,2.6,0.0,12.0,8.9,213,61,10.3,3.6,7.4,0.8,3.85,5.5,3.0,2.7,0.5,0.0,7.0,100,12.9,19.8,216,10.52,1.43,51,9.4,3.1,7.3,1.2,1.0,0.0,10.0,8.9,213,80,9.9,6.6,7.0,4.7,2.0,2.0,0.0,0.0,8.0,12.5,24.1,202,9.68,1.51,61,10.1,1.7,7.3,-0.6,6.6,6.6,0.0,0.0,5.0,8.6,14.0,203,10.08,1.5,51,11.3,5.2,8.5,2.8,0.3,0.0,3.0,10.0,26.6,211,14.18,2.02,15.04.23,5
80,9.0,7.5,7.3,5.0,2023-04-16T06:34,2023-04-16T20:17,1.25,5.3,20.0,20.0,0.0,0.0,24.0,97,11.2,20.5,258,5.06,0.93,61.0,6.8,5.2,10.3,0.0,19.0,10.1,229,61,7.1,5.4,5.4,2.7,1.25,5.3,15.6,15.4,0.2,0.0,20.0,97,13.0,24.5,214,2.0,0.43,55,8.2,5.6,7.2,3.3,16.4,0.0,24.0,7.4,226,80,9.0,7.5,7.3,5.0,20.0,20.0,0.0,0.0,24.0,11.2,20.5,258,5.06,0.93,63,8.6,5.4,7.4,3.2,67.3,67.3,0.0,0.0,24.0,8.3,20.5,240,4.88,0.8,61,10.7,7.2,9.0,4.9,14.2,0.0,19.0,9.5,25.2,250,6.38,0.99,16.04.23,8
80,13.9,7.9,10.0,6.7,2023-04-17T06:32,2023-04-17T20:18,4.6,5.6,2.0,1.9,0.2,0.0,10.0,89,17.3,31.3,31,15.99,2.37,53.0,11.3,5.7,2.1,0.0,12.0,15.0,59,53,12.3,5.6,8.9,3.9,4.6,5.6,5.1,3.6,1.7,0.0,17.0,89,15.3,31.0,62,11.65,1.66,53,12.4,6.5,9.6,4.9,5.3,0.0,14.0,10.4,33,80,13.9,7.9,10.0,6.7,2.0,1.9,0.2,0.0,10.0,17.3,31.3,31,15.99,2.37,61,12.5,6.6,11.0,5.0,12.1,12.1,0.0,0.0,20.0,14.4,28.4,52,17.44,2.21,61,14.7,7.5,11.2,5.6,4.1,0.0,12.0,18.0,39.2,31,20.55,2.92,17.04.23,11
3,16.3,8.1,13.6,6.1,2023-04-18T06:30,2023-04-18T20:19,5.15,5.7,0.0,0.0,0.0,0.0,0.0,35,19.6,35.3,43,20.24,3.21,,14.2,5.0,0.1,0.0,1.0,11.7,40,51,14.8,5.8,12.4,3.2,5.15,5.7,0.7,0.3,0.5,0.0,7.0,35,17.1,40.0,47,16.97,2.5,3,13.0,7.1,10.6,4.6,0.0,0.0,0.0,11.5,41,3,16.3,8.1,13.6,6.1,0.0,0.0,0.0,0.0,0.0,19.6,35.3,43,20.24,3.21,51,14.6,7.1,12.4,4.5,2.8,2.8,0.0,0.0,13.0,13.0,32.4,46,18.72,2.63,3,16.5,7.8,13.3,5.1,0.0,0.0,0.0,17.3,38.5,39,23.1,3.53,18.04.23,13
80,12.8,7.0,10.6,2.8,2023-04-19T06:28,2023-04-19T20:21,3.0,5.65,0.2,0.1,0.0,0.0,2.0,97,24.5,42.8,31,10.4,1.8,,11.3,3.8,0.4,0.0,3.0,16.6,28,51,13.0,5.6,11.5,1.9,3.0,5.65,1.3,0.6,0.7,0.0,10.0,97,19.4,37.1,54,7.56,1.28,51,12.5,7.0,10.6,4.9,0.4,0.0,3.0,9.4,37,80,12.8,7.0,10.6,2.8,0.2,0.1,0.0,0.0,2.0,24.5,42.8,31,10.4,1.8,61,13.3,5.9,12.1,2.2,6.1,5.9,0.2,0.0,8.0,15.8,34.2,39,14.21,2.12,53,14.6,7.3,11.9,4.4,1.3,0.0,3.0,18.1,42.1,21,18.17,2.76,19.04.23,13
61,7.3,5.5,5.5,1.8,2023-04-20T06:26,2023-04-20T20:22,0.75,5.4,4.7,4.7,0.0,0.0,15.0,82,18.2,36.0,57,6.63,1.09,55.0,5.5,3.5,3.9,0.0,15.0,15.9,34,53,5.2,2.8,3.4,0.7,0.75,5.4,2.3,2.35,0.0,0.0,10.0,82,16.3,33.1,50,1.64,0.39,53,7.5,3.0,5.1,0.2,14.6,0.0,24.0,9.4,51,61,7.3,5.5,5.5,1.8,4.7,4.7,0.0,0.0,15.0,18.2,36.0,57,6.63,1.09,63,5.6,2.8,3.5,0.5,35.4,35.4,0.0,0.0,24.0,14.4,32.8,53,5.03,0.73,51,8.5,4.7,6.5,1.8,1.3,0.0,8.0,11.6,32.0,22,11.07,1.38,20.04.23,6
45,12.9,3.4,11.6,1.0,2023-04-21T06:25,2023-04-21T20:24,6.0,6.0,0.0,0.0,0.0,0.0,0.0,35,6.3,14.8,317,16.7,2.3,,12.7,1.7,0.0,0.0,0.0,6.9,318,51,16.9,1.9,17.4,-0.5,6.0,6.0,0.1,0.15,0.0,0.0,1.0,35,8.5,14.0,57,20.37,3.0,51,14.2,3.0,13.4,0.7,0.3,0.0,2.0,4.1,32,45,12.9,3.4,11.6,1.0,0.0,0.0,0.0,0.0,0.0,6.3,14.8,317,16.7,2.3,53,14.9,2.0,14.7,-0.3,2.9,2.9,0.0,0.0,13.0,5.4,8.6,47,16.5,2.36,3,15.0,2.3,13.4,-0.7,0.0,0.0,0.0,9.9,25.6,298,22.45,3.09,21.04.23,10
80,18.0,7.1,16.7,5.8,2023-04-22T06:23,2023-04-22T20:25,5.6,6.2,0.9,0.7,0.3,0.0,4.0,58,8.3,23.8,310,16.08,2.56,,16.9,4.7,0.2,0.0,2.0,11.3,257,3,20.1,6.5,19.7,4.2,5.6,6.2,0.0,0.0,0.0,0.0,0.0,58,12.1,36.0,209,19.43,3.25,3,20.1,5.9,18.4,4.7,0.0,0.0,0.0,7.1,239,80,18.0,7.1,16.7,5.8,0.9,0.7,0.3,0.0,4.0,8.3,23.8,310,16.08,2.56,3,18.8,3.8,18.2,2.0,0.0,0.0,0.0,0.0,0.0,7.6,17.6,223,21.09,3.37,61,20.8,7.6,19.2,5.7,1.4,0.0,1.0,14.2,47.5,289,23.08,3.85,22.04.23,8
