"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",4.1,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",68.8,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",214.73,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",208.14,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",133.26,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",3.77,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",58.37,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",212.99,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",201.29,"bereinigt"
"1983-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",96.13,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",5.76,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",49.18,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",356.86,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",311.82,"bereinigt"
"1983-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",136.22,"bereinigt"
"1983-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.02,"bereinigt"
"1983-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",46.44,"bereinigt"
"1983-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",37.35,"bereinigt"
